algo,example_id,true_val,result,beta,adaptive,IS_func,accept_rate,up_rate,runtime,iterations,T,K,J,notes
mcmcis,0,0.0032763814358856,0.0034579867891628,0.1,False,exp,0.645,0.108,0.0628209114074707,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0015851898555887,0.1,False,exp,0.6535,0.089,0.0430049896240234,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0011060391533389,0.1,False,exp,0.6805,0.083,0.0736711025238037,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0018195012480557,0.1,False,exp,0.6555,0.09,0.0471999645233154,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.007914947879095,0.1,False,exp,0.6485,0.138,0.0538880825042724,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0052732673564266,0.1,False,exp,0.6465,0.159,0.0460150241851806,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0104827782583327,0.1,False,exp,0.654,0.221,0.0977568626403808,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0029833960532163,0.1,False,exp,0.637,0.137,0.0298380851745605,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0110031035614033,0.1,False,exp,0.621,0.162,0.0632822513580322,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0048168754149889,0.1,False,exp,0.6375,0.077,0.0525770187377929,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0021935875202359,0.1,False,exp,0.642,0.105,0.0537559986114501,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0030396554203609,0.1,False,exp,0.654,0.093,0.0346028804779052,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0067273450289042,0.1,False,exp,0.665,0.209,0.0383727550506591,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.0040025030726439,0.1,False,exp,0.639,0.134,0.0308458805084228,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.7720131654090382,1.0,False,exp,0.4545,0.98,0.0312099456787109,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.3937233666507381,1.0,False,exp,0.453,0.928,0.0277471542358398,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.6502039201107039,1.0,False,exp,0.466,0.95,0.0369367599487304,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.7553177625792267,1.0,False,exp,0.4575,0.958,0.0273230075836181,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.7029858695081275,1.0,False,exp,0.412,0.958,0.0351409912109375,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.6538824614872513,1.0,False,exp,0.4715,0.957,0.0286858081817626,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.7593486098142704,1.0,False,exp,0.476,0.965,0.0348241329193115,2000,1000,1000,1,
mcmcis,0,0.0032763814358856,0.4649504558830444,1.0,False,exp,0.4435,0.915,0.0284740924835205,2000,1000,1000,1,
samc,0,0.0032763814358856,0.009522678818036,101.0,False,,0.969,0.008,0.0429849624633789,2000,1000,1000,1,
samc,0,0.0032763814358856,,101.0,False,,0.769505,0.027603,35.87341094017029,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,101.0,False,,0.769615,0.027634,35.697911977767944,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,101.0,False,,0.768785,0.027648,35.40725088119507,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,101.0,False,,0.768909,0.02757,35.72830390930176,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,101.0,False,,0.769844,0.027561,35.524439096450806,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,101.0,False,,0.769754,0.027739,35.6814968585968,1100000,100000,1000000,1,
samc,0,0.0032763814358856,,101.0,False,,0.768179,0.027619,35.796069860458374,1100000,100000,1000000,1,
